v8-version,6,0,287,53,0
shared-library,"/usr/local/bin/node",0x100003200,0x1008b3cba,0
shared-library,"/usr/local/opt/icu4c/lib/libicui18n.59.dylib",0x101bfd690,0x101d1ad7a,4324306944
shared-library,"/usr/local/opt/icu4c/lib/libicuuc.59.dylib",0x101e3a800,0x101ee90d0,4326658048
shared-library,"/usr/local/opt/icu4c/lib/libicudata.59.1.dylib",0x1030f2560,0x1030f2560,4346286080
shared-library,"/System/Library/Frameworks/CoreFoundation.framework/Versions/A/CoreFoundation",0x7fff3c666860,0x7fff3c8599ac,347394048
shared-library,"/usr/lib/libSystem.B.dylib",0x7fff6272894a,0x7fff62728b2e,347394048
shared-library,"/usr/lib/libc++.1.dylib",0x7fff6295cf40,0x7fff629a42b0,347394048
shared-library,"/usr/lib/system/libcache.dylib",0x7fff6489ab08,0x7fff6489d56d,347394048
shared-library,"/usr/lib/system/libcommonCrypto.dylib",0x7fff6489fc14,0x7fff648a8de1,347394048
shared-library,"/usr/lib/system/libcompiler_rt.dylib",0x7fff648aaef4,0x7fff648afa8b,347394048
shared-library,"/usr/lib/system/libcopyfile.dylib",0x7fff648b309c,0x7fff648ba2dc,347394048
shared-library,"/usr/lib/system/libcorecrypto.dylib",0x7fff648bce80,0x7fff64921ab9,347394048
shared-library,"/usr/lib/system/libdispatch.dylib",0x7fff649caa58,0x7fff649f59ce,347394048
shared-library,"/usr/lib/system/libdyld.dylib",0x7fff64a04014,0x7fff64a1c410,347394048
shared-library,"/usr/lib/system/libkeymgr.dylib",0x7fff64a21a51,0x7fff64a21e80,347394048
shared-library,"/usr/lib/system/liblaunch.dylib",0x7fff64a2ffc0,0x7fff64a2ffc0,347394048
shared-library,"/usr/lib/system/libmacho.dylib",0x7fff64a306e8,0x7fff64a349dc,347394048
shared-library,"/usr/lib/system/libquarantine.dylib",0x7fff64a3626e,0x7fff64a37b42,347394048
shared-library,"/usr/lib/system/libremovefile.dylib",0x7fff64a38944,0x7fff64a39c73,347394048
shared-library,"/usr/lib/system/libsystem_asl.dylib",0x7fff64a3b748,0x7fff64a50150,347394048
shared-library,"/usr/lib/system/libsystem_blocks.dylib",0x7fff64a5285d,0x7fff64a52d0e,347394048
shared-library,"/usr/lib/system/libsystem_c.dylib",0x7fff64a54100,0x7fff64ad518f,347394048
shared-library,"/usr/lib/system/libsystem_configuration.dylib",0x7fff64adde04,0x7fff64ae06c0,347394048
shared-library,"/usr/lib/system/libsystem_coreservices.dylib",0x7fff64ae22d0,0x7fff64ae43eb,347394048
shared-library,"/usr/lib/system/libsystem_darwin.dylib",0x7fff64ae5fda,0x7fff64ae6c44,347394048
shared-library,"/usr/lib/system/libsystem_dnssd.dylib",0x7fff64ae7f3c,0x7fff64aec4cd,347394048
shared-library,"/usr/lib/system/libsystem_info.dylib",0x7fff64aef1f0,0x7fff64b3441e,347394048
shared-library,"/usr/lib/system/libsystem_m.dylib",0x7fff64b60140,0x7fff64b90143,347394048
shared-library,"/usr/lib/system/libsystem_malloc.dylib",0x7fff64bac250,0x7fff64bc531f,347394048
shared-library,"/usr/lib/system/libsystem_network.dylib",0x7fff64bcce50,0x7fff64cce068,347394048
shared-library,"/usr/lib/system/libsystem_networkextension.dylib",0x7fff64cfccff,0x7fff64d0482e,347394048
shared-library,"/usr/lib/system/libsystem_notify.dylib",0x7fff64d08148,0x7fff64d1083e,347394048
shared-library,"/usr/lib/system/libsystem_sandbox.dylib",0x7fff64d26040,0x7fff64d2852d,347394048
shared-library,"/usr/lib/system/libsystem_secinit.dylib",0x7fff64d29a1f,0x7fff64d2a588,347394048
shared-library,"/usr/lib/system/libsystem_kernel.dylib",0x7fff64b38f10,0x7fff64b5675d,347394048
shared-library,"/usr/lib/system/libsystem_platform.dylib",0x7fff64d11820,0x7fff64d1738d,347394048
shared-library,"/usr/lib/system/libsystem_pthread.dylib",0x7fff64d19f78,0x7fff64d2210e,347394048
shared-library,"/usr/lib/system/libsystem_symptoms.dylib",0x7fff64d2b938,0x7fff64d3131e,347394048
shared-library,"/usr/lib/system/libsystem_trace.dylib",0x7fff64d34094,0x7fff64d43c8d,347394048
shared-library,"/usr/lib/system/libunwind.dylib",0x7fff64d4896c,0x7fff64d4d2a7,347394048
shared-library,"/usr/lib/system/libxpc.dylib",0x7fff64d4fd08,0x7fff64d7092a,347394048
shared-library,"/usr/lib/closure/libclosured.dylib",0x7fff621ede80,0x7fff62218689,347394048
shared-library,"/usr/lib/libobjc.A.dylib",0x7fff63dd7000,0x7fff63df865a,347394048
shared-library,"/usr/lib/libc++abi.dylib",0x7fff629b4600,0x7fff629d2d64,347394048
shared-library,"/usr/lib/libDiagnosticMessagesClient.dylib",0x7fff623b1f08,0x7fff623b290c,347394048
shared-library,"/usr/lib/libicucore.A.dylib",0x7fff63486fd0,0x7fff6363e2e6,347394048
shared-library,"/usr/lib/libz.1.dylib",0x7fff647ed2d0,0x7fff647f8be5,347394048
tick,0x10306e1fc,658,0,0x0,4
profiler,"begin",1000
tick,0x1006e9ece,1907,0,0x0,4
tick,0x7fff64d160bc,3171,0,0x0,4
tick,0x10055bff2,4195,0,0x0,4
code-creation,Stub,3,4225,0x3a8437e04000,374,"JSEntryStub"
code-creation,Stub,3,4242,0x3a8437e04180,374,"JSEntryStub"
code-creation,Builtin,5,4251,0x3a8437e04300,166,"EmptyFunction"
code-creation,Stub,3,4260,0x3a8437e043c0,414,"CEntryStub"
code-creation,Builtin,5,4269,0x3a8437e04560,171,"ConstructedNonConstructable"
code-creation,Stub,3,4277,0x3a8437e04620,414,"CEntryStub"
code-creation,Builtin,5,4283,0x3a8437e047c0,643,"CompileLazy"
code-creation,Stub,3,4289,0x3a8437e04a60,1390,"RecordWriteStub"
code-creation,Stub,3,4295,0x3a8437e04fe0,200,"StoreBufferOverflowStub"
code-creation,Stub,3,4301,0x3a8437e050c0,1418,"RecordWriteStub"
code-creation,Builtin,5,4308,0x3a8437e05660,364,"JSConstructStubGenericUnrestrictedReturn"
code-creation,Builtin,5,4314,0x3a8437e057e0,1117,"FastNewObject"
code-creation,Builtin,5,4321,0x3a8437e05c40,359,"ArgumentsAdaptorTrampoline"
code-creation,Stub,3,4327,0x3a8437e05dc0,2302,"RecordWriteStub"
code-creation,Stub,3,4333,0x3a8437e066c0,420,"StoreBufferOverflowStub"
code-creation,Stub,17,4339,0x3a8437e06880,173,"BinaryOpICStub"
code-creation,Stub,3,4344,0x3a8437e06940,407,"NumberToStringStub"
code-creation,Handler,4,4353,0x3a8437e06ae0,288,"An IC handler from the snapshot"
code-creation,Stub,17,4359,0x3a8437e06c00,455,"BinaryOpICStub"
code-creation,Stub,3,4364,0x3a8437e06de0,597,"CEntryStub"
code-creation,Stub,3,4370,0x3a8437e07040,2327,"RecordWriteStub"
code-creation,Stub,3,4376,0x3a8437e07960,2286,"RecordWriteStub"
code-creation,Stub,17,4381,0x3a8437e08260,173,"BinaryOpICStub"
code-creation,Stub,3,4387,0x3a8437e08320,2301,"RecordWriteStub"
code-creation,Stub,3,4393,0x3a8437e08c20,1034,"RecordWriteStub"
code-creation,Stub,3,4399,0x3a8437e09040,623,"StringAddStub"
code-creation,Stub,3,4404,0x3a8437e092c0,1820,"StringAddStub"
code-creation,Builtin,5,4410,0x3a8437e099e0,330,"NonPrimitiveToPrimitive_Default"
code-creation,Stub,3,4416,0x3a8437e09b40,1805,"GetPropertyStub"
code-creation,Builtin,5,4421,0x3a8437e0a260,270,"Call_ReceiverIsAny"
code-creation,Builtin,5,4427,0x3a8437e0a380,416,"CallFunction_ReceiverIsAny"
code-creation,Builtin,5,4433,0x3a8437e0a520,491,"ToObject"
code-creation,Stub,3,4438,0x3a8437e0a720,2282,"RecordWriteStub"
code-creation,Builtin,5,4444,0x3a8437e0b020,281,"CallBoundFunction"
code-creation,Builtin,5,4450,0x3a8437e0b140,391,"CallFunction_ReceiverIsNotNullOrUndefined"
code-creation,Builtin,5,4455,0x3a8437e0b2e0,270,"Call_ReceiverIsNotNullOrUndefined"
code-creation,Builtin,5,4461,0x3a8437e0b400,396,"OrdinaryToPrimitive_Number"
code-creation,Stub,17,4467,0x3a8437e0b5a0,228,"BinaryOpICStub"
code-creation,Handler,4,4472,0x3a8437e0b6a0,812,"An IC handler from the snapshot"
code-creation,Stub,3,4478,0x3a8437e0b9e0,2324,"RecordWriteStub"
code-creation,Stub,3,4484,0x3a8437e0c300,2274,"RecordWriteStub"
code-creation,Stub,17,4489,0x3a8437e0cc00,423,"BinaryOpICStub"
code-creation,Stub,3,4495,0x3a8437e0cdc0,2328,"RecordWriteStub"
code-creation,Stub,3,4501,0x3a8437e0d6e0,1423,"RecordWriteStub"
code-creation,Stub,3,4506,0x3a8437e0dc80,2285,"RecordWriteStub"
code-creation,Stub,3,4512,0x3a8437e0e580,2304,"RecordWriteStub"
code-creation,Stub,17,4518,0x3a8437e0ee80,304,"BinaryOpICStub"
code-creation,Stub,3,4523,0x3a8437e0efc0,2324,"RecordWriteStub"
code-creation,Stub,17,4529,0x3a8437e0f8e0,173,"BinaryOpICStub"
code-creation,Stub,17,4535,0x3a8437e0f9a0,228,"BinaryOpICStub"
code-creation,Stub,17,4541,0x3a8437e0faa0,248,"BinaryOpICStub"
code-creation,Stub,3,4546,0x3a8437e0fba0,1012,"RecordWriteStub"
code-creation,Stub,17,4552,0x3a8437e0ffa0,455,"BinaryOpICStub"
code-creation,Stub,17,4558,0x3a8437e10180,304,"BinaryOpICStub"
code-creation,Stub,17,4563,0x3a8437e102c0,228,"BinaryOpICStub"
code-creation,Stub,17,4586,0x3a8437e103c0,228,"BinaryOpICStub"
code-creation,Stub,17,4593,0x3a8437e104c0,300,"BinaryOpICStub"
code-creation,Stub,3,4598,0x3a8437e10600,217,"DoubleToIStub"
code-creation,Stub,3,4604,0x3a8437e106e0,2301,"RecordWriteStub"
code-creation,Stub,3,4610,0x3a8437e10fe0,389,"MathPowStub"
code-creation,Stub,17,4616,0x3a8437e11180,427,"BinaryOpICStub"
code-creation,Stub,3,4621,0x3a8437e11340,2298,"RecordWriteStub"
code-creation,Stub,3,4627,0x3a8437e11c40,2285,"RecordWriteStub"
code-creation,Stub,17,4633,0x3a8437e12540,459,"BinaryOpICStub"
